분류,말
0,이많은데이터에서인식하지못하는단어가나오면찐따언어로인식함
0,우리집에 닭없음ㅋㅋ
0,(사진첨부)꼬마에용 신천지다ㄷㄷㄷ포섭할려고일베함
0,꼬마예아 보이면 무조건 민주화박아라 존나역겁노 얼굴올리면서
0,어그로끌고 신천지전도 ㅋㅋㅋ개독=신천지 거기서 거기임
0,개독들도 두손두발 다든게 신천지임
0,내가 애랑 얘기많이 했었는데 신천지 얘기 꺼낸적은 한번도 읍던데
0,저 얼굴에 글 올리는거 보면 포섭이 될리가 없잖아 ㅋㅋㅋㅋ
0,무서엉 ㅠ.ㅜ
0,이새끼 6랩 부럽네...
0,똥꼬충 새끼가 6랩들 달았노 ㄷㄷ
0,나도 1업 더 해서 초록랩 달고싶노 ㄷㄷ
0,그러길래 왜자꾸 괴롭혀서
0,나한테 못생긴새끼라는 말을 들어 ㅋ
0.5,일단 잔다 내일을 위해!
1,피시테일은 사랑입니다.
1,위치태그 구라치지마셈 ㅎ
1,밀리감성 못버려
1,매력에 치인다….자켓 탐나요 형..
1,부러워부러워 나도 나갈래
1,미쿡사람 다됐네
1,매번 갈까말까 하다가 첫휴가를 핑계로 갔던 시현하다. 영일작가님의 섬세한 셔터눌림으로인해 저의 특징을 잘잡아주시고 분위기도 사진한장에 듬뿍 담아 주셨다. 저의 23살 마지막을 감각있게 장식해주셔서 감사합니다.
1,Model status
1,인스타 갬성 지리누..
1,미칫다 존나 잘생겼다 사랑해 죽겠다 꿈에나와라
1,순례왔습니다 혹시 문과생이십니까?
